,name_image,score_Sharp,score_Blur,score_GAN_sharp
0,GOPRO_Large/test/GOPR0384_11_05/blur/004081.png,3121.01326032635,698.82800759282,1543.54140699562
1,GOPRO_Large/test/GOPR0384_11_05/blur/004079.png,3487.73957776651,1461.60351079702,1910.83092629071
2,GOPRO_Large/test/GOPR0384_11_05/blur/004003.png,2773.54637061059,1055.62070191442,1370.11406665202
3,GOPRO_Large/test/GOPR0384_11_05/blur/004049.png,3111.03515706188,1952.36630008277,2047.98657137062
4,GOPRO_Large/test/GOPR0384_11_05/blur/004030.png,2967.87937159999,1507.55161881051,1683.00952471211
5,GOPRO_Large/test/GOPR0384_11_05/blur/004009.png,2874.51783746108,1463.39916513022,1661.63836182817
6,GOPRO_Large/test/GOPR0384_11_05/blur/004091.png,3697.95654594526,1435.52327357233,2022.36663364992
7,GOPRO_Large/test/GOPR0384_11_05/blur/004060.png,3005.67770656571,1907.34909870452,1985.29653040972
8,GOPRO_Large/test/GOPR0384_11_05/blur/004067.png,3186.26723268232,2065.44402694702,2146.67505234643
9,GOPRO_Large/test/GOPR0384_11_05/blur/004069.png,3129.92093772348,2211.51240199804,2188.69687763951
10,GOPRO_Large/test/GOPR0384_11_05/blur/004094.png,4076.26427709963,2032.63906143396,2342.43110649451
11,GOPRO_Large/test/GOPR0384_11_05/blur/004074.png,3287.97029512352,1169.94480589684,1692.15916913375
12,GOPRO_Large/test/GOPR0384_11_05/blur/004073.png,3136.88343095384,895.099223661935,1621.17095379694
13,GOPRO_Large/test/GOPR0384_11_05/blur/004013.png,2788.48287018551,1716.17642583605,1754.60011432972
14,GOPRO_Large/test/GOPR0384_11_05/blur/004057.png,3045.5540051721,1969.54817329347,2030.06943181064
15,GOPRO_Large/test/GOPR0384_11_05/blur/004050.png,3117.98032275937,1614.28158220998,1856.56106149568
16,GOPRO_Large/test/GOPR0384_11_05/blur/004034.png,2950.45745181665,1125.85971950646,1495.37607854605
17,GOPRO_Large/test/GOPR0384_11_05/blur/004040.png,3028.14249312109,1134.44926400273,1544.28451707377
18,GOPRO_Large/test/GOPR0384_11_05/blur/004027.png,2996.43047893769,1262.43172581471,1524.1150178276
19,GOPRO_Large/test/GOPR0384_11_05/blur/004029.png,3046.09624613612,1588.8921784272,1713.5683853589
20,GOPRO_Large/test/GOPR0384_11_05/blur/004092.png,3846.38542865217,2113.80538545456,2330.18630954251
21,GOPRO_Large/test/GOPR0384_11_05/blur/004080.png,3508.74541817582,1905.84188207146,2163.59927266836
22,GOPRO_Large/test/GOPR0384_11_05/blur/004054.png,3055.81767466268,1658.40526173171,1880.94754173514
23,GOPRO_Large/test/GOPR0384_11_05/blur/004077.png,3386.44841170311,1714.68665844179,1998.19123373088
24,GOPRO_Large/test/GOPR0384_11_05/blur/004065.png,3119.9268870966,1082.85324953846,1644.45906381961
25,GOPRO_Large/test/GOPR0384_11_05/blur/004046.png,3042.76257284638,1491.38686677441,1825.36411613226
26,GOPRO_Large/test/GOPR0384_11_05/blur/004042.png,3053.99750585016,1362.44679259113,1722.7049886547
27,GOPRO_Large/test/GOPR0384_11_05/blur/004055.png,3394.73067522701,1753.45520907547,1914.07126265927
28,GOPRO_Large/test/GOPR0384_11_05/blur/004020.png,2886.20629716571,1652.5683324337,1753.56066624238
29,GOPRO_Large/test/GOPR0384_11_05/blur/004028.png,3030.8290053457,1848.43484102911,1851.29533257987
30,GOPRO_Large/test/GOPR0384_11_05/blur/004071.png,3404.07039164007,1388.50772060617,1766.21883505187
31,GOPRO_Large/test/GOPR0384_11_05/blur/004014.png,2760.44481248385,1800.17354280408,1793.98198040552
32,GOPRO_Large/test/GOPR0384_11_05/blur/004082.png,3220.34002118721,599.689382442972,1454.64469443238
33,GOPRO_Large/test/GOPR0384_11_05/blur/004083.png,3514.9883548615,1379.80909946188,1906.66923421621
34,GOPRO_Large/test/GOPR0384_11_05/blur/004086.png,2734.78734478331,416.187551385723,1426.31140437629
35,GOPRO_Large/test/GOPR0384_11_05/blur/004043.png,3057.16619148455,1602.58881833195,1866.18858906417
36,GOPRO_Large/test/GOPR0384_11_05/blur/004099.png,4108.79554648115,1487.46754334029,2095.81943815574
37,GOPRO_Large/test/GOPR0384_11_05/blur/004064.png,2952.92708423641,452.980013591936,1301.92545971181
38,GOPRO_Large/test/GOPR0384_11_05/blur/004061.png,2927.83513110876,1743.07440677192,1884.57056497759
39,GOPRO_Large/test/GOPR0384_11_05/blur/004031.png,2964.81677970081,1602.53609382734,1718.43160941359
40,GOPRO_Large/test/GOPR0384_11_05/blur/004025.png,2899.43133865087,1161.5478592962,1488.63714341796
