,score_paper,score_me
0,1950.8099540136755,1666.5590405724943
1,896.6197029964533,1273.127858391963
2,3727.4728583609685,3327.705928977579
3,1781.0056287012994,1291.6283509396017
4,3438.738400634378,3376.417429741472
5,2162.1793187707663,2295.636306545697
6,7245.809332825011,5594.264445606386
7,1332.7170574655756,1251.7558398058172
8,2268.7030871054158,2696.6082523427904
9,1004.9614349864423,825.2153996489942
10,5993.10901596304,4831.570804699324
11,2359.464736214839,2310.5249798127916
12,1170.2704617509153,1106.388479884714
13,2026.5613048514351,2115.4762025994714
14,1496.1355195993092,1967.1841176114976
15,1607.3048224837985,1350.9089498182293
16,676.4543603563216,727.3751186728477
17,1737.079134031199,3190.474095999263
18,973.2179815620184,1205.896315218648
19,3027.2499410277233,2406.2060122452676
20,1088.5637805757578,898.7185679653194
21,850.4315714517143,452.6622666956391
22,3726.3081163743045,3251.01258484181
23,2677.159213718027,2157.2092689012643
24,907.2824053009972,1086.824203073047
25,1911.2177280783653,2464.214438929921
26,1670.4066225877032,1392.1160889656749
27,1416.6556615494192,1670.350682160817
28,1630.467624049401,1767.7336938381195
29,1055.49756938871,1441.7766006605234
30,1426.2357471501455,1440.8311291895807
31,3453.090869292617,3126.3796825669706
32,1783.7635472265538,1631.9388456994202
33,1402.2532653575763,2064.084910020232
34,1519.4087615273893,2279.309585935436
35,7453.194425487658,5829.889739138773
36,1563.1392119468655,1316.5847927236464
37,3749.96724486351,2861.2137539775576
38,1249.784240721725,1311.5274858735502
39,1441.357372801518,1396.0057011356112
40,957.4986576081719,1367.1073039730545
41,1564.7630398832262,1896.6273796027526
42,2857.9137319391593,2401.7442937081214
43,7459.593022187939,5737.347878163448
44,1779.7210229539778,2160.3130987733603
45,1490.2684952092823,2174.8720670358744
46,2986.023335084319,2772.2425741681363
47,2917.8747288547456,2856.2079022191465
48,3689.3206588588655,3147.5176565498114
49,2085.436604363611,3162.9334932060447
50,4404.040957204066,4463.509571648203
51,2746.2115202993155,2356.4728296659887
52,3191.25744413957,3089.1860280893743
53,3021.70210051327,2641.077611513203
54,1066.2990676304325,1032.3835862891283
55,988.0529702752829,938.0517183037009
56,1657.4097566008568,2499.303084768122
57,2038.518382722279,2151.8384567701723
58,3287.712134487694,2541.216591456672
59,3416.5030769424047,3263.15948843956
60,2022.46375798597,2408.7994650749024
61,966.911964999279,1339.6814714854117
62,1731.892524506664,2108.6126849642023
63,1912.5680926346686,2208.4699604874477
64,1250.8004792779684,979.3848019083962
65,3602.5134764274117,2920.6000042548403
66,1490.406758918427,1710.4825371271
67,491.2713080905378,498.38138097524643
68,1078.816639519995,1316.3720478971954
69,2195.965510133421,2418.4001617373433
70,4430.308414805448,4223.035458561033
71,2412.058809723705,1793.522430142155
72,1938.95060400269,1438.820277252933
73,1312.3468352407217,1331.8068325808272
74,1109.0976418347564,1040.98961308226
75,2338.5192257724702,3121.657938069664
76,2604.8307340142783,2431.347702007508
77,6500.286451371154,5019.003266248619
78,1447.572370907059,1118.7096381576266
79,2683.6373413333204,3038.9772760709748
80,1435.0610568912234,1680.3796155618038
81,2638.025664686924,2487.283188612899
82,8488.2484809421,6420.256206232822
83,3188.4205526849255,2403.165905540576
84,2103.1421341763344,3074.207086350769
85,1721.1270820291247,2166.7665446230676
86,1368.0396922675427,1168.8236094524618
87,3744.7687324450817,3211.8413127546664
88,2074.3339327124413,2387.2116384506226
