,vifp_me_gt,vifp_ori_gt,mssim_me_gt,mssim_ori_gt,psnr_me_gt,psnr_ori_gt
0,0.37838894388093186,0.3252558893707991,(0.9362616504278102+0j),(0.9158157564385278+0j),27.35204342512545,26.622735839827918
1,0.2843915105282521,0.14733276883610122,(0.9037555537481705+0j),(0.8161313286032587+0j),25.19357551195665,22.811019482421585
2,0.32685153407925727,0.2730306285668116,(0.8884194337535055+0j),(0.8535089452501311+0j),26.739955759674512,25.71526896397053
3,0.3594619886177746,0.30758990501738204,(0.8960775807120961+0j),(0.8583439201895334+0j),28.665199321006334,28.021993520697034
4,0.3092457451105775,0.21295284404457612,(0.8693485033213711+0j),(0.7880113278343321+0j),24.602053370487237,23.38340871151499
5,0.21191976840289528,0.1600363786470933,(0.7804148384505016+0j),(0.7287741138749073+0j),24.26695519336226,22.780927005090916
6,0.38847966094715963,0.35705621834530393,(0.909178956389618+0j),(0.8898059125671399+0j),26.9111466732226,26.96455068239998
7,0.2797771988754727,0.20224919463764227,(0.8416261778687852+0j),(0.7645755137317851+0j),24.664924676467468,23.471935781400553
8,0.23791530883089596,0.15376569715912744,(0.8172957188006538+0j),(0.7147173678707412+0j),25.083133381919897,22.98074748480007
9,0.3523393529540579,0.2717470067314273,(0.9060203023456864+0j),(0.8588279595507587+0j),28.640038947069062,26.468012198636973
10,0.31235147791275425,0.28023277942238484,(0.8550386443194878+0j),(0.8283244898345286+0j),25.360124992961445,25.184680255520405
11,0.3564750542474246,0.2511028878861273,(0.8922464842784225+0j),(0.8052384291467114+0j),26.41398133009011,24.37501700051979
12,0.2789498621697854,0.20289645257787203,(0.8545938716248915+0j),(0.7816188569279033+0j),27.493359770733097,25.770267090144536
13,0.2994123037256351,0.18040359927004224,(0.860690909238991+0j),(0.7505843585519237+0j),25.587420985871987,22.864183939297284
14,0.22305096540531588,0.12111646053004399,(0.8023909678340876+0j),(0.6655476398664117+0j),24.261652021400284,21.950689466982432
15,0.317380050115676,0.25307900038144204,(0.8843475210189866+0j),(0.8285877039169871+0j),28.573696684507645,27.309333765300103
16,0.3185608358802711,0.22694711102744394,(0.9023944659998782+0j),(0.8477866745720012+0j),29.052502555792607,26.56796753525928
17,0.25701603386370303,0.14451099269963175,(0.8175619805834676+0j),(0.6558643573774248+0j),22.890004953633248,20.007137920145198
18,0.3403405240836745,0.23064054683624413,(0.9077847959902963+0j),(0.8237640569192493+0j),27.748342359506147,24.0683587216315
19,0.41097908953297374,0.3334882508220905,(0.9193371000583646+0j),(0.877793137320777+0j),26.96709428929139,25.580743423837482
20,0.07999105935485995,0.05403872651235778,(0.5474677045656178+0j),(0.4946933272617898+0j),19.225481613249748,18.250590188609788
21,0.14079859653276947,0.11771282547941925,(0.7844761295303813+0j),(0.7409000079074264+0j),19.898174574442347,19.374544382933724
